,City,Cloudiness,Humidity,Latitude,Temperature,Windspeed
0,Qaanaaq,24,88,77.48,-14.98,4.29
1,East London,40,78,-33.02,71.6,16.11
2,Sinnamary,76,94,5.38,79.93,12.39
3,Klaksvik,92,100,62.23,32.0,16.11
4,Norman Wells,20,83,65.28,-7.61,3.36
5,Roros,75,100,62.57,21.2,9.17
6,Rikitea,32,100,-23.12,79.07,13.85
7,Jiazi,75,93,19.61,60.8,13.42
8,Ust-Maya,64,44,60.42,-6.75,3.78
9,Atuona,20,98,-9.8,82.22,20.56
10,Saint-Philippe,90,86,45.36,29.73,8.05
11,Clyde River,90,75,70.47,-18.41,9.17
12,Avarua,75,83,-21.21,80.6,6.93
13,Alice Springs,75,78,-23.7,75.2,14.99
14,Mataura,68,71,-46.19,59.9,12.28
15,Makakilo City,1,64,21.35,69.39,8.05
16,Beringovskiy,80,94,63.05,18.91,36.17
17,Bukama,8,92,-9.2,75.2,2.84
18,Pacific Grove,1,65,36.62,50.52,2.89
19,Punta Arenas,40,70,-53.16,46.4,19.46
20,Faanui,36,99,-16.48,82.49,12.8
21,Port Alfred,92,100,-33.59,68.86,14.29
22,Ushuaia,75,81,-54.81,42.8,9.17
23,Dikson,68,99,73.51,-5.58,23.91
24,Albany,90,87,42.65,30.61,8.05
25,Bluff,88,43,-23.58,86.18,17.72
26,Geraldton,90,92,49.72,19.4,8.05
27,Hobart,20,68,-42.88,66.2,16.11
28,Richards Bay,48,97,-28.77,73.09,4.07
29,Ancud,92,97,-41.87,61.21,6.31
30,Mar del Plata,64,59,-46.43,70.16,17.09
31,Cherskiy,0,69,68.75,-15.52,10.04
32,Puyang,0,46,35.76,46.09,11.83
33,Torbay,90,86,47.66,28.4,12.75
34,Puerto Escondido,0,100,15.86,80.78,7.76
35,Ponta Delgada,75,93,37.73,62.6,17.22
36,Port Lincoln,0,62,-34.72,79.34,13.35
37,Hithadhoo,80,100,-0.6,84.11,9.89
38,Maceio,0,94,-9.67,75.2,4.7
39,Ponta do Sol,80,98,-20.63,67.33,2.1
40,La Asuncion,68,96,-1.64,44.51,1.39
41,New Norfolk,20,68,-42.78,66.2,16.11
42,Sungaipenuh,36,89,-2.08,73.99,0.2
43,Tasiilaq,88,85,65.61,21.2,8.05
44,Tuatapere,36,100,-46.13,57.79,9.78
45,Aykhal,0,67,65.95,-5.62,4.52
46,Sheltozero,36,70,61.37,-1.48,9.66
47,Jamestown,12,69,-33.21,75.79,13.8
48,Vaini,0,32,15.34,89.69,3.62
49,Tarakan,20,78,3.3,87.94,2.62
50,Chanika,88,100,-12.93,71.11,4.85
51,Along,0,52,28.17,68.81,0.83
52,Saskylakh,0,37,71.97,-24.34,7.02
53,Ambulu,88,100,-8.35,80.83,7.65
54,Sitka,0,54,37.17,31.37,4.29
55,San Ramon,0,85,12.92,62.87,3.85
56,Kodiak,40,79,39.95,24.8,10.29
57,Guerrero Negro,8,82,27.97,55.31,7.36
58,Khatanga,0,60,71.98,-12.46,11.61
59,Naze,40,94,5.43,73.4,6.64
60,Yerbogachen,64,65,61.28,8.06,6.08
